plotID,Age10OldestTrees,Age10percentOldestTrees,MeanGAMAge,MedianGAMAge,ModeGAMAge
L1_03,374.6225454,360.3291122,149.711375,110.9459308,80.41196248
L1_07,304.4969872,294.3106337,122.4903527,71.28543812,86.17081081
L1_10,127.7567598,125.7538457,96.29944668,95.388483,96.32973203
L1_13,165.3054412,167.1332318,127.5250259,131.2345315,131.2345315
L1_17,279.9232771,242.4163972,113.236065,96.85454423,74.59179352
L1_18,268.3520073,268.3520073,155.9560566,162.5080066,227.3511885
L1_22,226.620078,240.8128723,175.4076686,186.7028442,227.6056888
L1_24,313.5265836,306.6365609,188.6503911,192.0492728,267.159392
L1_26,367.3239668,370.1157729,168.7982277,122.6439305,162.7450292
L1_27,111.2049775,107.4268552,79.25946957,83.0601423,96.56365712
L1_31,106.1429117,106.1429117,88.87136812,89.38248339,89.93554773
L1_33,244.0456471,207.341319,127.8810128,123.6594672,104.5159977
L1_34,337.7747323,337.7747323,174.4333636,150.2457847,268.3422285
L1_36,109.1584892,106.9573733,83.46561021,84.34280841,78.2637774
L1_38,42.80390891,39.19132055,34.66410246,34.61745991,35.56728084
L1_43,38.73927031,36.50530368,30.28393707,30.76629972,31.70164003
L1_44,115.1728669,114.4590295,93.45007129,94.22718887,98.77913555
L1_48,251.5106758,243.8503238,103.2512406,86.52509175,113.571925
L2_01,127.13334,126.3937835,97.97162902,99.40651433,100.6759106
L2_05,205.5550678,211.5842812,161.9294773,160.3019459,210.8422242
L2_06,188.6911674,212.1221737,126.9433561,123.7032061,150.3492467
L2_09,40.98309008,36.13383841,24.49827551,23.92541054,24.25614071
L2_13,203.2611042,223.334709,175.7233604,180.7891799,193.1093138
L2_14,170.0306772,172.9443734,132.1780838,134.2290243,145.2307645
L2_16,188.9697489,196.5589513,153.1077792,157.6599913,170.4402759
L2_17,140.537344,138.67642,96.62149112,93.93253918,98.77913555
L2_18,312.3395685,391.4445108,124.6630941,64.22514607,64.22514607
L2_20,228.4154979,236.1043483,173.3097848,173.0350321,195.1845198
L2_26,81.17799223,72.52287968,50.17639065,49.14095742,49.27377731
L2_27,395.9200371,391.4712761,152.9139039,112.3612358,110.9459308
L2_30,424.8315003,424.8315003,187.8548725,126.2068207,106.9879052
L2_32,134.9624531,134.4048716,106.1884555,105.8536705,100.6708304
L2_33,117.0713021,110.3106494,42.49881865,30.31176782,28.10381366
L2_34,354.5215421,315.6891705,151.1475579,130.4165703,132.0123397
L2_38,155.3277792,170.0384799,123.3478425,120.9278138,120.9278138
L2_44,341.0202908,338.6837831,134.6859194,68.54561461,326.5913313
L3_02,251.3809676,261.6074977,156.1036254,160.5416364,143.5425395
L3_06,372.4688665,320.5048597,144.5818276,116.6844287,137.4312999
L3_09,422.7213749,386.3348364,153.3926107,116.2170284,101.8438828
L3_10,396.5182812,367.8108194,168.6135184,142.4315296,102.7292236
L3_12,160.3298947,148.6659401,94.8209492,100.0783836,117.4009633
L3_16,340.2194569,323.1649981,186.4598057,187.909345,275.4392476
L3_18,172.123435,169.2306043,122.143713,122.9095027,136.1699361
L3_23,147.7035167,148.6875601,107.4125053,106.5256032,120.1623612
L3_24,248.1763019,254.0510054,161.425659,161.5570922,242.383003
L3_26,96.15019322,86.53474081,56.27521603,56.25429056,64.48627689
L3_27,81.16818267,81.16818267,64.24339495,62.45518637,59.50250417
L3_31,99.84666945,94.68990033,66.99203535,68.28787729,69.28710791
L3_32,146.2784933,134.6328005,87.38010178,88.6158812,102.255154
L3_34,123.29606,121.6583766,89.63067607,91.54575988,96.65275539
L3_37,176.8319838,177.6874701,137.3065269,135.8713714,149.3238352
L3_38,36.87141194,34.96714403,29.22465749,29.65873485,31.57128212
L3_41,281.8518582,270.9720327,118.3425247,78.48184135,67.540273
L3_42,162.6206332,165.3240737,113.4258448,113.4249397,170.1919729
L4_02,70.15934685,67.39692083,55.31582334,55.30208785,56.98781841
L4_04,47.32782955,42.43593056,23.35295548,18.73360069,16.06870855
L4_06,408.8632073,402.0937429,166.240991,92.65987868,77.68647138
L4_09,384.8516259,319.659136,153.2692418,134.6111334,120.1529724
L4_10,241.6013609,247.1947017,160.5075663,169.1753128,235.4905745
L4_11,31.7004677,30.1469813,25.15308772,25.16117595,24.34029246
L4_16,131.2744595,126.6357111,83.40621574,85.25970886,119.6076325
L4_17,156.1058471,161.1071754,104.5890226,105.4589727,152.3871776
L4_18,362.2803011,343.8059555,109.7505681,74.40418683,64.22514607
L4_20,112.3825958,112.3825958,82.07770552,83.66096314,88.55073524
L4_23,148.5818875,149.1836438,115.7156576,113.4947011,133.7712678
L4_25,141.7902072,142.9821151,113.249666,112.6848219,109.380753
L4_26,135.6006477,149.3372186,113.8285685,112.767042,153.7833615
L4_27,367.3982323,362.143455,146.1032173,52.36640402,51.84763333
L4_30,19.28927213,20.00491912,14.58102421,14.81000416,13.10909818
L4_31,462.2054886,502.3775831,184.1156945,150.9922801,168.7084825
L4_32,151.2521912,152.0343451,114.6759248,116.3318625,107.2932099
L4_33,401.3042344,358.4927437,175.589902,146.9696743,135.2460344
L4_39,16.69434012,17.16664532,14.42872976,14.2514316,12.94506118
L4_42,96.42615202,96.42615202,76.72634315,76.88925253,88.33354458
L5_01,104.7483708,100.7890837,77.69207907,76.77583851,76.77583851
L5_05,247.5661937,231.4586254,123.0053055,115.04569,117.284171
L5_12,165.135695,155.6779983,90.97876799,86.79986501,153.99502
L5_18,205.9796188,210.6257783,141.1059281,142.0419806,144.9754217
L5_19,39.56765816,33.40616744,26.54632679,27.01106308,27.09955271
L5_21,198.7782907,190.2134732,112.8295567,111.653553,52.31829387
L5_25,255.6460269,264.204265,170.1549695,170.9876971,113.4818603
L5_28,39.56880177,36.21541118,30.04220272,31.02601633,31.02601633
L5_32,287.1088278,223.5210556,118.1271894,107.6968209,107.2375826
L5_33,233.0831726,217.6494303,126.2252693,120.6320698,87.52485004
L5_37,11.32036252,12.01360571,10.78418114,10.63029469,10.97393883
L5_38,55.18837091,54.04894001,43.74285257,45.03490089,45.03490089
L6_01,29.68682671,23.86800231,22.47170271,22.51563424,22.51563424
L6_02,307.8042166,274.3250439,119.5640191,87.01808739,35.44585808
L6_03,127.1157747,123.8677625,91.124001,93.64952039,94.89439301
L6_04,84.46295017,89.13519499,51.69263905,50.96064718,54.24092014
L6_05,233.7249092,241.9540519,150.7367825,143.3549063,230.0503336
L6_08,331.3497582,350.6452839,196.6709931,193.4883048,164.545945
L6_10,474.2379247,467.5443896,185.8424731,97.9993428,64.71776591
L6_11,151.1025039,139.4105397,84.8506601,82.49513047,85.70299482
L6_14,266.7658337,178.5433435,93.83483075,87.92901375,100.0191739
L6_15,205.3206274,201.5024758,95.5251062,83.69914065,127.4763357
L6_17,67.15348603,93.04374657,36.24847388,31.71427388,13.0761391
L6_19,150.2174736,148.4212783,95.52273197,92.98145378,114.0050389
L6_21,212.1198605,198.8035129,112.6653526,110.550286,122.4037311
