Decay class,GenusGlobal,Density_kgm3,CN ratio
1,Abies,343,
2,Abies,305,
3,Abies,247,
4,Abies,174,
5,Abies,149,
Average,Abies,247,
1,Alnus,422,
2,Alnus,359,
3,Alnus,286,
4,Alnus,197,
5,Alnus,120,
Average,Alnus,274,
1,deciduous,523,
2,deciduous,442,
3,deciduous,345,
4,deciduous,241,
5,deciduous,152,
Average,deciduous,366,
1,Carpinus,392,
2,Carpinus,428,
3,Carpinus,336,
4,Carpinus,211,
5,Carpinus,140,
Average,Carpinus,298,
1,coniferous,374,
2,coniferous,334,
3,coniferous,271,
4,coniferous,198,
5,coniferous,160,
Average,coniferous,277,
1,Fagus,520,
2,Fagus,379,
3,Fagus,261,
4,Fagus,229,
5,Fagus,220,
Average,Fagus,349,
1,Fraxinus,452,
2,Fraxinus,403,
3,Fraxinus,392,
4,Fraxinus,227,
5,Fraxinus,151,
Average,Fraxinus,344,
1,Picea,381,
2,Picea,340,
3,Picea,270,
4,Picea,190,
5,Picea,157,
Average,Picea,279,
1,Pinus,379,
2,Pinus,334,
3,Pinus,277,
4,Pinus,214,
5,Pinus,165,
Average,Pinus,283,
1,Quercus,614,
2,Quercus,518,
3,Quercus,397,
4,Quercus,300,
5,Quercus,195,
Average,Quercus,449,
